molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1349505,CCOC(=O)c1cccnc1SCc1cc(=O)n2ccccc2n1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1565806,N=C(NOC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738438
CHEMBL1581799,Cc1ccc(OCC(=O)O/N=C(\N)Cc2ccc(Cl)cc2)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,56700,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738438
CHEMBL1330113,Cl.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738438
CHEMBL1533040,N=C(NOC(=O)c1ccc(F)cc1)c1ccc(Br)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738438
CHEMBL1521188,COc1ccc(-n2cc(-c3ccccc3)c3c(S)ncnc32)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID493003]",inactive,CHEMBL1738438
CHEMBL1406044,CCOC(=O)N1CCN(S(=O)(=O)c2ccc(C(=O)N(CCN(CC)CC)c3nc4ccc(C)cc4s3)cc2)CC1.Cl,Mitochondrial import inner membrane translocase subunit TIM10,IC50,60800,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1467860,COc1ccccc1N1CCN(CC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CC1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,58700,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1601531,CCOC(=O)c1ccc(NC(=O)c2cccc3c2C(=O)N(CC2CCCO2)C3)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,55100,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1447975,O=C(Nc1cccc(C(F)(F)F)c1)N1CCC(c2nc(-c3ccc(F)cc3)no2)CC1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,74700,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
