molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1999938,COc1ccc(C2NC(c3ccccc3C)=NO2)cc1O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1979770,CN(C(=O)c1cccc(S(C)(=O)=O)c1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1979068,Cc1ccc2[nH]c(N3CCN(S(C)(=O)=O)CC3)nc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2002308,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc2c(c1)OCCO2,Mitochondrial import inner membrane translocase subunit TIM23,IC50,77270,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2001665,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(CN2CCCCC2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,58400,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1983298,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2002845,Cc1ccc(S(=O)(=O)Cc2cc(=O)n3ccccc3n2)nc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL2005366,O=c1cc(CSc2ccc(C(F)(F)F)cn2)nc2ccc(Br)cn12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1558834,CN1CCN(c2nc(-c3cccnc3)nc3ccccc23)CC1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1476102,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1cccc(O)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
